timestamp,cable_id,estado,edad_cable,potencia_dbm,temperatura,osnr,ber
2025-01-28 19:20:48.667365,DWDM-06252,safe,2,-16.26085129537517,44.0947043806505,36.45475212776064,2.8871255586363574e-16
2024-11-24 11:20:48.667365,DWDM-04684,safe,2,-17.811977478880426,34.90733481607501,37.48718326761508,3.957679493030528e-15
2024-07-24 10:20:48.667365,DWDM-01731,safe,1,-15.921617715211358,36.62670800970451,37.340408105425496,1.481852137075068e-16
2024-11-26 21:20:48.667365,DWDM-04742,safe,2,-16.51095833055752,37.50404757839235,39.85647455986469,1.3878496639438595e-16
2024-11-17 16:20:48.667365,DWDM-04521,safe,3,-14.756632479710271,40.18583251192561,36.04142793032117,1.2208562105441656e-16
2025-02-01 11:20:48.667365,DWDM-06340,safe,3,-12.621261431716704,35.18527524027213,35.7404391902008,5.269496017325679e-15
2024-06-06 07:20:48.667365,DWDM-00576,safe,2,-14.790211948384037,38.089036395271414,36.712362781179145,2.289267249732637e-15
2024-12-16 01:20:48.667365,DWDM-05202,safe,1,-15.376212032226405,37.87364022415827,38.91252817974679,6.645571256151049e-16
2025-02-02 10:20:48.667365,DWDM-06363,safe,2,-13.08465572904436,39.20803101000267,36.92335312398717,1.406370359948178e-14
2024-05-31 14:20:48.667365,DWDM-00439,safe,2,-16.298857575853003,37.361130752758456,39.63807117574028,3.3934355644357848e-15
2024-09-04 21:20:48.667365,DWDM-02750,safe,3,-13.617370159514756,41.888689245788726,39.15688141857186,3.180488274916948e-15
2025-03-21 06:20:48.667365,DWDM-07487,warning,6,-21.441271088161095,61.90392295991145,28.379405930204793,3.053677632493682e-10
2024-12-18 23:20:48.667365,DWDM-05272,safe,2,-13.864221141349446,34.500686837274465,37.28659978105355,7.082437901910028e-15
2025-01-03 20:20:48.667365,DWDM-05653,safe,3,-15.597840864413797,40.3205994581721,39.08943871064375,5.753079525487728e-15
2024-10-26 22:20:48.667365,DWDM-03999,safe,3,-17.870740033105704,38.40161972858949,35.49155730118619,7.754120230833084e-15
2025-01-19 16:20:48.667365,DWDM-06033,safe,2,-14.747515003197726,35.27312784111934,39.51375507487039,1.1525082796654971e-15
2024-06-06 13:20:48.667365,DWDM-00582,safe,2,-17.87313609106941,39.08195466526571,35.411007947409665,8.525881144791823e-16
2025-07-01 01:20:48.667365,DWDM-09930,critical,10,-37.14860218955306,89.09116808319332,21.22068108267733,3.034985435131241e-06
2025-03-03 02:20:48.667365,DWDM-07051,warning,6,-23.27171825533484,58.14298619677419,31.89935301714241,1.4688628811779424e-10
2025-04-18 05:20:48.667365,DWDM-08158,warning,6,-22.576690158872402,63.99877743624019,26.44736670756505,7.1840239888039e-10
2025-06-29 15:20:48.667365,DWDM-09896,critical,16,-28.566279295797727,81.40027354994233,15.593036257293315,3.577722803565225e-06
2024-08-15 00:20:48.667365,DWDM-02249,safe,2,-16.628909248901554,39.804125279811146,36.52348170043145,3.798606002845918e-14
2024-11-22 15:20:48.667365,DWDM-04640,safe,3,-14.763982468264222,39.534952150494355,37.11838204808924,4.4613948948947725e-14
2025-06-12 12:20:48.667365,DWDM-09485,warning,5,-22.933174531006323,56.490713062302,30.704638937888816,5.150476779406769e-10
2024-12-05 10:20:48.667365,DWDM-04947,safe,3,-15.072623132782795,34.16347348272442,39.38724241825488,5.5426957504565516e-14
2025-06-30 15:20:48.667365,DWDM-09920,critical,17,-34.3940464026173,81.36825854582275,18.191725258422796,5.418283020796691e-06
2024-08-03 02:20:48.667365,DWDM-01963,safe,1,-12.806586497014404,39.113038964875145,38.50238734845071,2.0839369804884908e-16
2025-04-21 18:20:48.667365,DWDM-08243,warning,7,-22.22085220105712,56.40535594685057,29.187777248916664,2.1006665238715636e-09
2025-02-11 21:20:48.667365,DWDM-06590,safe,2,-16.33382597597723,36.96053218417945,38.33991318914697,1.442631124356172e-16
2025-05-16 22:20:48.667365,DWDM-08847,warning,8,-22.398058132084667,63.57648706252153,29.941175427357535,8.633310495150786e-09
2024-05-26 16:20:48.667365,DWDM-00321,safe,1,-13.976499944246658,38.98789256359228,38.227669954400746,1.324389101097156e-15
2024-09-01 21:20:48.667365,DWDM-02678,safe,1,-12.522201390549325,37.73836049860327,35.68457896238445,4.2830355806767617e-16
2024-11-22 00:20:48.667365,DWDM-04625,safe,2,-13.619000719746566,40.65379813133879,37.48388087793864,1.7152534441443516e-15
2024-12-05 12:20:48.667365,DWDM-04949,safe,3,-12.966982127376966,38.586256615228265,39.985374384565716,1.3107781267215937e-14
2025-04-25 07:20:48.667365,DWDM-08328,warning,5,-20.592017204611835,65.00618600397314,28.30737030210371,2.1766331731415906e-10
2024-09-29 08:20:48.667365,DWDM-03337,safe,3,-17.86312643479451,37.12757672558176,35.93182615465258,4.990711535582263e-15
2025-01-01 04:20:48.667365,DWDM-05589,safe,1,-14.47138978565962,41.35080994954971,38.58863933627301,7.645174314546928e-16
2024-05-23 18:20:48.667365,DWDM-00251,safe,2,-14.46628316133635,39.79465486763694,35.5200514886407,5.285246057282228e-15
2024-10-25 20:20:48.667365,DWDM-03973,safe,2,-13.072236725595653,37.71674424853599,37.728887427028056,1.6972381850160863e-16
2025-02-13 13:20:48.667365,DWDM-06630,safe,1,-15.209800233992427,33.57963921644988,38.74646455832219,4.2990508557534275e-16
2024-12-30 10:20:48.667365,DWDM-05547,safe,2,-14.546603333145473,38.67244519537117,35.34517208398833,3.344599163039051e-14
2024-05-14 18:20:48.667365,DWDM-00035,safe,1,-17.880311657858908,34.447890875072446,36.84066794990569,3.1052156095965884e-15
2025-04-26 17:20:48.667365,DWDM-08362,warning,5,-22.23111781049048,59.80332494975531,31.15269485226619,7.323678463859868e-09
2024-07-15 08:20:48.667365,DWDM-01513,safe,3,-15.54353794643151,32.83365845731735,37.44845021080441,8.488094181386932e-14
